,Top Level,Parent Hierarchy,Selective Access,Production Data,Managed By,Has Workflow,Properties,Subsets,Numbered,Display Name Property,Is Organization,Category,Data Tags,Item Count,Notes,Referenced in Applies To,Referenced as Format,Referenced in Formula,Next item index,Use Top Level As Default Page
Uni-code COEA-MJP-ACC,,Afdeling L5,false,true,,false,,,false,,false,,,5478,,"'IP 05. Seizoenspatronen'.Previous MJP Version Load, 'IP 05. Seizoenspatronen'.Previous MJP Version Anaplan, '└ IP 10c. Selecteer seizoenspatroon', '└ IP 10d. Calculatie seizoenspatronen', 'RP 26. Calculatie seizoenspatronen Totaal', '└ FI 07i. User Filters - COEA-KP-ACC', '└ FI 07an. User Filters MJP Versions - COEA-MJP-ACC', 'IM 20. COEA-KP-ACC', 'EX 02. Export plan to Powerapps financieel', 'EX 04. Export plan to SAP financieel'","'└ IP 10a. Verdeling naar grootboekrekening'.Find item, '└ IP 10a NEW. Verdeling naar grootboekrekening'.Unicode item, '└ IP 10b. Verdeling naar grootboekrekening - Import'.Concatenate LIST, 'IM 20. COEA-KP-ACC'.ITEM","'└ IP 10a. Verdeling naar grootboekrekening'.Reload List?, '└ IP 10a. Verdeling naar grootboekrekening'.Find item, '└ IP 10a NEW. Verdeling naar grootboekrekening'.Unicode item, '└ IP 10b. Verdeling naar grootboekrekening - Import'.Concatenate LIST, 'IM 20. COEA-KP-ACC'.ITEM",52104,false
Activiteit_Kostenplaats,Total,,false,true,,false,,,false,,false,,,140,07/08/2025 - Combinationlist for sparsity,"'└CA 35c. Monthly allocation Activity L4+ to UMDT - Copy', 'CA 43. Materiaal Staging Activiteit L4+'.KP Allocatie Magazijn, 'CA 43. Materiaal Staging Activiteit L4+'.KP Allocatie Overig, 'CA 43. Materiaal Staging Activiteit L4+'.Materiaal Magazijn Monthly, 'CA 43. Materiaal Staging Activiteit L4+'.Materiaal Overig Monthly, '└ FI 07ae. User Filters - Suppress Zeroes CA 35c', '└ FI 07ai. User Filters - Activiteit_kostenplaats', 'IM 65. Activiteit L4+_Kostenplaats'",'└  CA 21d. Activiteit_kostenplaats combinatie'.ITEM,'└  CA 21d. Activiteit_kostenplaats combinatie'.ITEM,141,false
▶️ KPI’s ◀️,,,false,false,,false,,,false,,false,,,0,,,,,1,false
SPIN - KPI,,,false,true,,false,Display name: Text,,true,Display name,false,,,838,,"'DA 34. KPI Afdeling Subload', 'IM 42. SPIN KPI''s', 'IM 43. KPI_Afdeling'.Count SPIN","'LO 09. Load SPIN KPI Data'.AN KPI, 'DA 34. KPI Afdeling Subload'.AN KPI Naam, 'IP 21. Input KPI''s - MJP'.KPI Name, '└ IP 21a. Input KPI''s - Months'.KPI Name, 'IP 22. Create KPI_Afdeling'.Bestaande KPI selectie, 'IP 22. Create KPI_Afdeling'.AN KPI, 'IP 22. Create KPI_Afdeling'.'KPI Naam blank', 'IP 48. KPI report creation input'.KPI Omschrijving, 'RP 18. KPI Waarde over years'.KPI naam, '└ RP 18b. Powerpoint KPI''s Master Data'.KPI naam, 'FI 07. User filters - General'.'SPIN - KPI', 'IM 42. SPIN KPI''s'.KPI Naam, 'IM 43. KPI_Afdeling'.'L - KPI Naam', 'IM 43. KPI_Afdeling'.KPI Naam","'LO 09. Load SPIN KPI Data'.AN KPI, 'DA 34. KPI Afdeling Subload'.AN KPI Naam, 'IP 22. Create KPI_Afdeling'.AN KPI, 'IM 42. SPIN KPI''s'.KPI Naam",846,false
SPIN - YTD Berekening,,,false,true,,false,,,false,,false,,,5,,,"'LO 09. Load SPIN KPI Data'.AN YTD Berekening, 'DA 34. KPI Afdeling Subload'.AN YTD Berekening, 'IP 22. Create KPI_Afdeling'.YTD Berekening, 'IP 22. Create KPI_Afdeling'.'YTD Bereking blank', 'IM 43. KPI_Afdeling'.'L - YTD Berekening', 'IM 43. KPI_Afdeling'.YTD Berekening, 'IM 43. KPI_Afdeling'.'SPIN - YTD Berekening'","'LO 09. Load SPIN KPI Data'.AN YTD Berekening, 'DA 34. KPI Afdeling Subload'.AN YTD Berekening",6,false
SPIN - Groepering L1,,,false,true,,false,,,false,,false,,,54,,,"'LO 09. Load SPIN KPI Data'.'AN Groepering L1', 'DA 34. KPI Afdeling Subload'.'AN Groupering L1', 'IP 22. Create KPI_Afdeling'.'Groepering L1', 'IP 22. Create KPI_Afdeling'.'Groupering L1 blank', 'IP 48. KPI report creation input'.Groepering, 'RP 18. KPI Waarde over years'.'Categorie L1', '└ RP 18b. Powerpoint KPI''s Master Data'.'Groepering L1', 'IM 43. KPI_Afdeling'.'L - Groepering L1', 'IM 43. KPI_Afdeling'.'Groepering L1', 'IM 43. KPI_Afdeling'.'SPIN - Groepering L1'","'LO 09. Load SPIN KPI Data'.'AN Groepering L1', 'DA 34. KPI Afdeling Subload'.'AN Groupering L1'",81,false
SPIN - Categorie L2,,SPIN - Groepering L1,false,true,,false,,,false,,false,,,57,,,"'LO 09. Load SPIN KPI Data'.'AN Categorie L2', 'DA 34. KPI Afdeling Subload'.'AN Categorie  L2', 'IP 22. Create KPI_Afdeling'.'Categorie L2', 'IP 22. Create KPI_Afdeling'.'Categorie L2 blank', 'RP 18. KPI Waarde over years'.'Categorie L2', '└ RP 18b. Powerpoint KPI''s Master Data'.'Groepering L2', 'IM 43. KPI_Afdeling'.'L - Categorie L2', 'IM 43. KPI_Afdeling'.'Categorie L2', 'IM 43. KPI_Afdeling'.'SPIN - Groepering L2'","'LO 09. Load SPIN KPI Data'.'AN Categorie L2', 'DA 34. KPI Afdeling Subload'.'AN Categorie  L2'",14,false
SPIN - Organisatie,,,false,true,,false,,,false,,false,,,138,,'MA 01. SPIN -  Organisatie -> Afdeling L5',"'LO 09. Load SPIN KPI Data'.AN Organisatie, 'DA 12. Load Waardes from SPIN'.'AN: SPIN Organisatie', 'MA 01. SPIN -  Organisatie -> Afdeling L5'.Organisatie","'LO 09. Load SPIN KPI Data'.AN Organisatie, 'DA 12. Load Waardes from SPIN'.'AN: SPIN Organisatie', 'MA 01. SPIN -  Organisatie -> Afdeling L5'.Organisatie",139,false
SPIN - eenheden,,,false,false,,false,,,false,,false,,,31,,,"'DA 34. KPI Afdeling Subload'.AN Eenheid, 'IP 22. Create KPI_Afdeling'.Eenheid, 'IP 22. Create KPI_Afdeling'.'Eenheid blank', 'IP 48. KPI report creation input'.Eenheid, 'RP 18. KPI Waarde over years'.Eenheid, '└ RP 18b. Powerpoint KPI''s Master Data'.Eenheid, 'IM 18. KPI Informatie'.Eenheid, 'IM 43. KPI_Afdeling'.'L - Eenheid', 'IM 43. KPI_Afdeling'.Eenheid, 'IM 43. KPI_Afdeling'.'SPIN - Eenheid'",'DA 34. KPI Afdeling Subload'.AN Eenheid,32,false
KPI_Afdeling,,,false,true,,false,"Display name: Text, New code: Text",,true,Display name,false,,,1230,,"'DA 35. SPIN KPI Waardes', 'IP 21. Input KPI''s - MJP', '└ IP 21a. Input KPI''s - Months', 'CA 28. KPI Admin per KPI', 'RP 18. KPI Waarde over years', '└ RP 18a. Powerpoint KPI''s Waarde', '└ RP 18b. Powerpoint KPI''s Master Data', '└ FI 07v. User Filters - KPI_Afdelingen', 'IM 43. KPI_Afdeling'","'LO 09. Load SPIN KPI Data'.AN KPI_Afdeling, 'DA 12. Load Waardes from SPIN'.'AN: KPI naam', 'DA 12. Load Waardes from SPIN'.'AN: Final KPI', 'IP 22. Create KPI_Afdeling'.AN KPI_Afdeling, 'IP 48. KPI report creation input'.KPI_Afdeling, 'RP 17. KPI Waarde report creation'.KPI","'LO 09. Load SPIN KPI Data'.AN KPI_Afdeling, 'DA 12. Load Waardes from SPIN'.'AN: KPI naam', 'DA 12. Load Waardes from SPIN'.'AN: Final KPI', 'IP 22. Create KPI_Afdeling'.AN KPI_Afdeling, '└ RP 18b. Powerpoint KPI''s Master Data'.Counter, 'IM 43. KPI_Afdeling'.Number TEST",3906,false
▶️ 𝗢𝗛𝗧𝗘𝗥 𝗟𝗜𝗦𝗧𝗦◀️,,,false,false,,false,,,false,,false,,,0,,,,,1,false
Allocation Method (% / Q / €),Total,,false,false,,false,,,false,,false,,,4,,,"'IP 17. UMDT op Kostenplaats'.Allocation Method, 'IP 17. UMDT op Kostenplaats'.Allocation Method Final, 'IP 20. UMDT Thema''s op Kostenplaats'.Allocation Method, 'IP 20. UMDT Thema''s op Kostenplaats'.Allocation Method Final","'IP 17. UMDT op Kostenplaats'.Allocation, 'IP 17. UMDT op Kostenplaats'.Allocation %?, 'IP 17. UMDT op Kostenplaats'.Allocation Q?, 'IP 17. UMDT op Kostenplaats'.Allocation €?, 'IP 20. UMDT Thema''s op Kostenplaats'.Allocation, 'IP 20. UMDT Thema''s op Kostenplaats'.Allocation %?, 'IP 20. UMDT Thema''s op Kostenplaats'.Allocation Q?, 'IP 20. UMDT Thema''s op Kostenplaats'.Allocation €?",4,false
COEA,Totaal,,false,false,,false,,"SS - COEA - zonder AFD, SS - COEA - Afdelingskosten, SS - COEA - P&L",false,,false,,,5,,"'DA 30a. Actuals/LE Input UMDT', 'DA 07. Rapportage COEA', 'DA 28. Meerjarenplan Euros per jaar', '└ DA 28a. Meerjarenplan Euros Driver Selectie', '└ DA 28a NEW. Meerjarenplan Euros Driver Selectie', '└ DA 31a. Historical Data Grootbookrekening', '└ DA 31b.  Historical Data Aggregated', 'IP 05. Seizoenspatronen', 'IP 05. Seizoenspatronen - Copy', '└ IP 05a. Seizoenspatronen - Collect', '└ IP 05b. Seizoenspatronen - Beschrijving Verdeling', 'IP 10. Verdeling naar kostenplaatsen', 'IP 10x2. NEW Handmatig Verdeling naar KP', '└ IP 10a. Verdeling naar grootboekrekening', '└ IP 10a NEW. Verdeling naar grootboekrekening', '└ IP 10b. Verdeling naar grootboekrekening - Import', 'CA 01. SIP - continued', 'CA 11. Verdeling naar Grootboekrekening overzicht', 'CA 11 NEW. Verdeling naar Grootboekrekening', '└ CA 11a. Verdeling naar maand overzicht', '└ CA 11a NEW. Verdeling naar maand overzicht', 'CA 16. Controle Dekking Uren'.'Finale Waarde - COEA', 'CA 16 NEW. Controle Dekking COEA', 'CA 17. Controle Volledigheid KP/GBR/Maand/Thema', '└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+'.Final allocation, '└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+'.Final allocation test, '└ CA 21c. UMDT + Inflatie (L4+)', 'CA 29. MJP naar Afdelingen', '└  CA 29a. MJP naar Afdeling Collect', 'CA 38. Toeslagen GBR', 'CA 39. Other Rekeningcategorie GBR', 'CA 42. Materiaal Staging Thema L3++', 'CA 50. Monthly allocation key FSP', 'CA 51. Monthly allocation 5 years', 'CA 54. Bezettingsresultaat en dekkingsgraad'.'Unicode split to COEA, RC and Afdeling', 'CA 99. Samenvatting', 'CA XX. Inflatie Staging UMD', '└CA 41a. Netverder Inflatie - Naar rekeningcategori', 'CA 44. Inflatie Staging', 'CA 46 Cost + Inflatie', '└ RP 06a. samenvatting COEA', '└ RP 06c.TOTEX Analyse', 'RP 16. MJP Inflatie', 'RP 16 NEW. MJP Inflatie', 'RP 20. COEA tabel per kostenplaats', 'RP 21. COEA Versie Variance Totals', 'RP 22. COEA Versie Variance', 'RP 28. Controle Volledigheid GBR/Maand', 'FI 17. Account L12 - budget - COEA', '└ FI 07g. User Filters - COEA', '└ FI 07af. User Filters - Suppress Zeroes IP 10a NEW', 'IM 19. COEA', 'MA 04. Mapping Rekeningcategorie naar COEA', 'MA 05. Automatische allocatie', 'MA 06. NEW. COEA -> Rekeningcategorie', 'MA 15. COEA -> Rekeningcategorie', 'EX xx. Export plan to FSP', 'SEC 02. COEA/Kosten Access', 'MA 09. Mapping OPEX/CAPEX en COEA (Delete After Action)'","'LO 04. Load Tafel/Thema SIP'.AN COEA, 'DA 31. Historical data SAP BPC'.AN COEA, '└ IP 10b. Verdeling naar grootboekrekening - Import'.COEA, '└ IP 10c. Selecteer seizoenspatroon'.COEA, 'CA 34. MJP naar thema''s'.COE, 'CA 34. MJP naar thema''s - Meerjarig'.COE, 'FI 07. User filters - General'.COEA, 'FI 07. User filters - General'.'COE - Euros TEST', '└ FI 07g. User Filters - COEA'.COEA, '└ FI 07i. User Filters - COEA-KP-ACC'.COEA, 'IM 99. Lookup lists'.'COEA - OPEX', 'IM 99. Lookup lists'.'COEA - CAPEX', 'IM 99. Lookup lists'.'COEA - Extern', 'IM 99. Lookup lists'.'COEA - Afdelingskosten', 'IM 19. COEA'.Item, 'IM 20. COEA-KP-ACC'.COEA, 'IM 34. SIP Activiteit L4'.'OPEX/CAPEX', 'IM 35. SIP Subactiviteit L5'.'OPEX / CAPEX', 'IM 36. SIP Subactiviteit L6'.'OPEX / CAPEX', 'IM 76. Grouping SAP BPC to COEA'.COEA, 'SIP Activiteit L4'.COEA","'LO 04. Load Tafel/Thema SIP'.AN COEA, 'IP 10. Verdeling naar kostenplaatsen'.'Uren Verhouding (COE)', '└ IP 10a. Verdeling naar grootboekrekening'.OPEX, '└ IP 10a. Verdeling naar grootboekrekening'.CAPEX, '└ IP 10a. Verdeling naar grootboekrekening'.Extern, '└ IP 10a. Verdeling naar grootboekrekening'.Afdelingkosten, 'IP 13. UMDT op Activiteiten'.'COE - Activiteit LOOKUP', 'IP 13. UMDT op Activiteiten'.CAPEX % Selection, 'IP 13. UMDT op Activiteiten'.OPEX Q, 'IP 13. UMDT op Activiteiten'.CAPEX Q, 'IP 13. UMDT op Activiteiten'.Extern Q, 'IP 13. UMDT op Activiteiten'.Extern Write?, 'IP 19. UMDT op L3++ Thema''s'.'COE - Activiteit LOOKUP', 'IP 19. UMDT op L3++ Thema''s'.CAPEX % Selection, 'IP 19. UMDT op L3++ Thema''s'.OPEX Q, 'IP 19. UMDT op L3++ Thema''s'.CAPEX Q, 'IP 19. UMDT op L3++ Thema''s'.Extern Q, 'IP 19. UMDT op L3++ Thema''s'.Extern Write?, 'CA 04. FTE naar COEA'.Percentage COE, '└CA 16a. Controle UMD vs Thema'.Afdeling per Dummy Maand Delta %, '└  CA 23a. Allocatie naar Kostenplaats Thema L3 +'.COEA, 'CA 29. MJP naar Afdelingen'.Personeel, 'CA 29. MJP naar Afdelingen'.Doorbelastingen, 'CA 29. MJP naar Afdelingen'.IC, 'CA 29. MJP naar Afdelingen'.'niet cf IAS 16', 'CA 31. Toeslag Direct MJP'.Toeslag Totaal Budget, 'CA 34. MJP naar thema''s'.COE, 'CA 34. MJP naar thema''s - Meerjarig'.COE, '└ FI 07g. User Filters - COEA'.COEA, '└ FI 07g. User Filters - COEA'.'Filter 2', '└  FI 07s. User Filters - COEA Euros'.Item, '└  FI 07s. User Filters - COEA Euros'.'COE 2 Filter', '└  FI 07s. User Filters - COEA Euros'.'COEA Ex-afd Filter', '└ FI 07ae. User Filters - Suppress Zeroes CA 35c'.COE, 'IM 99. Lookup lists'.'COEA - OPEX', 'IM 99. Lookup lists'.'COEA - CAPEX', 'IM 99. Lookup lists'.'COEA - Extern', 'IM 99. Lookup lists'.'COEA - Afdelingskosten', 'IM 19. COEA'.Item, 'IM 19. COEA'.Afdelingskosten?, 'IM 19. COEA'.Afdelingskosten, 'IM 19. COEA'.OPEX, 'IM 19. COEA'.CAPEX, 'IM 19. COEA'.EXTERN, 'IM 19. COEA'.'SS - COEA - zonder AFD', 'IM 62 Kostenplaats'.Value in budget?",5,false
COEA incl bak,,,false,false,,false,,,false,,false,,,5,,,,,6,false
Directeuren,,,false,false,,false,,,false,,false,,,26,,,"'IM 13. Afdeling L5'.Directeur, 'IM 18. KPI Informatie'.KPI Regisseur, 'IM 18. KPI Informatie'.'Handmatig - KPI Regisseur', 'MA 05. Mapping Afdeling directeuren (Delete After Action)'.Directeur",,27,false
DB/TS items,Totaal,,false,false,,false,,"SS DB/TS - Doorbelastingen, SS DB/TS - Toeslagen",false,,false,,,15,,"'IP 16. Invoer DB/TS kosten', '└ IP 16a. Invoer DB/TS allocatie', '└ IP 16b. Invoer DB/TS Inflatie', 'IP 18. Doorbelasting & Toeslagen split', '└ IP 18a. Seizoenspatronen - DB/TS', 'CA 30. DB/TS naar Kostenplaats', 'CA 30a. DB/TS naar Afdeling', 'CA 36. Doorbelastingen naar Maand', 'RP 03. DB / TS Overview', 'FI 12. FIlter DB/TS', 'IM 19. DB/TS Items', 'IM 63. DB/TS', 'MA 63 LIS CA22a to DB/TS Items'.'Mapping #2', 'EX 05. DB/TS export to AACxUMD'","'FI 12. FIlter DB/TS'.Item, 'IM 99. Lookup lists'.'IT (DB/TS)', 'IM 99. Lookup lists'.NS reiskosten, 'IM 99. Lookup lists'.Huisvestiging, 'IM 99. Lookup lists'.Wagenpark, 'IM 99. Lookup lists'.Gereedschap, 'IM 99. Lookup lists'.Kleding, 'IM 99. Lookup lists'.Terughaalactie, 'IM 99. Lookup lists'.'Bedrijfsvoering (OLD', 'IM 99. Lookup lists'.Management Fee, 'IM 99. Lookup lists'.Magazijntoeslag, 'IM 99. Lookup lists'.OPS Support, 'IM 99. Lookup lists'.Netwerkontwikkeling, 'IM 99. Lookup lists'.Inkoop, 'IM 99. Lookup lists'.VGMK, 'IM 99. Lookup lists'.Bedrijfsvoering toeslag, 'IM 19. DB/TS Items'.Item, 'IM 63. DB/TS'.ITEM, 'MA 63 LIS CA22a to DB/TS Items'.Mapping","'└ IP 16b. Invoer DB/TS Inflatie'.KPI Verdeling % staging, 'CA 33. Toeslag indirect dekkings controle'.Toegepaste TOTEX, 'CA 33. Toeslag indirect dekkings controle'.Huidige dekking, 'CA 33. Toeslag indirect dekkings controle'.'Indirect Toeslag Dekking ex. Bedrijfsvoering', 'CA 47. Toeslag Inflation Staging'.Toeslag Inflatie, 'FI 12. FIlter DB/TS'.Item, 'IM 99. Lookup lists'.'IT (DB/TS)', 'IM 99. Lookup lists'.NS reiskosten, 'IM 99. Lookup lists'.Huisvestiging, 'IM 99. Lookup lists'.Wagenpark, 'IM 99. Lookup lists'.Gereedschap, 'IM 99. Lookup lists'.Kleding, 'IM 99. Lookup lists'.Terughaalactie, 'IM 99. Lookup lists'.Management Fee, 'IM 99. Lookup lists'.Magazijntoeslag, 'IM 99. Lookup lists'.OPS Support, 'IM 99. Lookup lists'.Netwerkontwikkeling, 'IM 99. Lookup lists'.Inkoop, 'IM 99. Lookup lists'.VGMK, 'IM 99. Lookup lists'.Bedrijfsvoering toeslag, 'IM 19. DB/TS Items'.Item, 'IM 63. DB/TS'.ITEM",21,false
Directe toeslagen niveau's,Totaal,,false,false,,false,,,false,,false,,,7,,"'IP 14. Directe toeslagen', 'EX 09. Export Directe Toeslagen to AACx UMD'","'IP 13. UMDT op Activiteiten'.Directe Toeslag, 'IP 13. UMDT op Activiteiten'.'Directe Toeslag 2', 'IP 19. UMDT op L3++ Thema''s'.'Directe Toeslag 1', 'IP 19. UMDT op L3++ Thema''s'.'Directe Toeslag 2'","'IP 14. Directe toeslagen'.Dekking final, 'IP 14. Directe toeslagen'.Toegepaste TOTEX, 'IP 14. Directe toeslagen'.Write?, 'CA 21. Berekend UMDT op Activiteit'.'TS - Direct', 'CA 21. Berekend UMDT op Activiteit'.'TS - Direct 2', 'CA 23. Berekend UMDT op L3++ Thema''s'.'TS - Direct', 'CA 23. Berekend UMDT op L3++ Thema''s'.'TS - Direct 2'",7,false
Drivers GBR,,,false,false,,false,,,false,,false,,,5,,'IM 99. Afdelingskosten Split',"'CA 11. Verdeling naar Grootboekrekening overzicht'.Driver, 'CA 11. Verdeling naar Grootboekrekening overzicht'.Final Driver, 'CA 11 NEW. Verdeling naar Grootboekrekening'.Driver, 'CA 11 NEW. Verdeling naar Grootboekrekening'.Final Driver, 'FI 09. Driver DB Filter'.User Selected Driver, 'FI 09. Driver DB Filter'.User Selected Driver NEW, 'IM 99. Lookup lists'.Automatische allocatie driver, 'IM 99. Lookup lists'.Eigen invoer driver, 'IM 99. Lookup lists'.CY Actuals driver, 'IM 99. Lookup lists'.LY Actuals driver, 'IM 99. Lookup lists'.Laatste MJP driver, 'IM 99. Afdelingskosten Split'.Actuals, 'IM 99. Afdelingskosten Split'.Laatste MJP, 'IM 99. Afdelingskosten Split'.Vrije Invoer, 'IM 99. Afdelingskosten Split'.Automatische Allocatie","'CA 11. Verdeling naar Grootboekrekening overzicht'.Final Driver, 'CA 11. Verdeling naar Grootboekrekening overzicht'.Verdeeld, 'FI 09. Driver DB Filter'.Filter Percentages, 'FI 09. Driver DB Filter'.Filter Values, 'FI 09. Driver DB Filter'.'Filter values <added dimension>', 'IM 99. Lookup lists'.Automatische allocatie driver, 'IM 99. Lookup lists'.Eigen invoer driver, 'IM 99. Lookup lists'.CY Actuals driver, 'IM 99. Lookup lists'.LY Actuals driver, 'IM 99. Lookup lists'.Laatste MJP driver",6,false
Drivers MJP Euros,,,false,false,,false,,,false,,false,,,6,,,"'└ DA 28a. Meerjarenplan Euros Driver Selectie'.Driver, '└ DA 28a NEW. Meerjarenplan Euros Driver Selectie'.Driver","'DA 28. Meerjarenplan Euros per jaar'.Groei% Driver, 'DA 28. Meerjarenplan Euros per jaar'.Vrije invoer?",8,false
Drivers MJP FTE's,,,false,false,,false,,,false,,false,,,6,,,'└ DA 29a. Meerjarenplan FTEs Driver Selectie'.Driver,"'DA 29. Meerjarenplan FTEs per jaar'.Groei% Driver, 'DA 29. Meerjarenplan FTEs per jaar'.Vrije Invoer",8,false
Eenheid,,,false,false,,false,,,false,,false,,,2,,'IM 64. Eenheid',"'LO 05. Load Subactiviteit L5 SIP'.AN Eenheid, 'IP 13. UMDT op Activiteiten'.Eenheid, 'IP 19. UMDT op L3++ Thema''s'.Eenheid, 'CA 21. Berekend UMDT op Activiteit'.Eenheid, 'CA 23. Berekend UMDT op L3++ Thema''s'.Eenheid, 'IM 99. Lookup lists'.Stelpost, 'IM 99. Lookup lists'.Stuks, 'IM 35. SIP Subactiviteit L5'.Eenheid, 'IM 36. SIP Subactiviteit L6'.Eenheid, 'IM 64. Eenheid'.AN Stelpost","'LO 05. Load Subactiviteit L5 SIP'.AN Eenheid, 'IP 13. UMDT op Activiteiten'.'Uren € (handmatig) Final', 'IP 13. UMDT op Activiteiten'.Final Q, 'IP 19. UMDT op L3++ Thema''s'.'Uren € (handmatig) Final', 'IP 19. UMDT op L3++ Thema''s'.Uren, 'IP 19. UMDT op L3++ Thema''s'.Final Q, 'CA 21. Berekend UMDT op Activiteit'.Uren, 'IM 99. Lookup lists'.Stelpost, 'IM 99. Lookup lists'.Stuks",3,false
FTE Type L1,Totaal FTE,,false,false,,false,,,false,,false,,,2,,'IM 09. FTE Type L1',"'IM 99. Lookup lists'.'FTE - Totaal', 'IM 09. FTE Type L1'.ITEM, 'IM 10. FTE Type L2'.Parent","'└ IP 10e. Maand FTE Verdeling naar KP'.Waarde in Kostenplaats, 'IM 99. Lookup lists'.'FTE - Totaal', 'IM 09. FTE Type L1'.ITEM",3,false
FTE Type L2,,FTE Type L1,false,false,,false,,SS - FTE Type FSP,false,,false,,,4,,"'RP 24. FTE Versie Variance Totals', 'IM 10. FTE Type L2'","'IM 99. Lookup lists'.'FTE - Eigen', 'IM 99. Lookup lists'.'FTE - Inleen', 'IM 10. FTE Type L2'.ITEM","'IM 99. Lookup lists'.'FTE - Eigen', 'IM 99. Lookup lists'.'FTE - Inleen', 'IM 10. FTE Type L2'.ITEM",5,false
F1 Functiegroepen,Totaal,,false,false,,false,,,false,,false,,,2,,,,"'IP 39. Dekking % Prestatiesoorten'.Opslag per uur, 'CA 56. Opslag per uur'.Totaal dekking uren, 'CA 56. Opslag per uur'.'Calc -Totaal Opslag per uur'",2,false
F2 Prestatiesoorten,,F1 Functiegroepen,false,false,,false,Display Name: Text,,true,Display Name,false,,,165,,"'DA 03. SRT data Productieve uren', 'DA 36. Loonkosten Afdeling', 'DA 37. Loonkosten Subafdeling', 'IP 33. Loonkosten', 'IP 36. Verdeling FTEs naar prestatiesoorten', 'CA 56. Opslag per uur', 'CA 57. Uurtarief Afdeling'.Uurtarief budget in prestatiesoort, '└CA 57a. Productieve uren', 'CA 58. Uurtarief Subafdeling', 'FI 16. Filter Prestatiesoort', 'IM 47. Prestatiesoorten', 'EX 07. Uurtarief export to Data Hub Subafdeling', 'EX 08. Uurtarief export to Data Hub Afdeling'","'LO 12. Loonkosten Prestatiesoorten'.AN Prestatiesoort, 'IP 38. Loonkosten prestatiesoort'.'Prestatiesoort (SAP)', 'IP 39. Dekking % Prestatiesoorten'.Prestatiesoort, 'CA 57. Uurtarief Afdeling'.Prestatiesoort, 'IM 47. Prestatiesoorten'.Item","'LO 12. Loonkosten Prestatiesoorten'.AN Prestatiesoort, 'IM 47. Prestatiesoorten'.Item",312,false
Gemeente,,RES Regio,false,false,,false,,,false,,false,,,80,,,,,59,false
IAS16 kosten,Totaal niet cf IAS16,,false,false,,false,,,false,,false,,,9,,"'IP 02. IAS16 kosten (cumulatief)', '└IP 02a. IAS16 naar maanden', 'IM 72. IAS 16 Inflatie'","'IM 99. Lookup lists'.SPP, 'IM 99. Lookup lists'.Consignatiedienst, 'IM 99. Lookup lists'.PPO, 'IM 99. Lookup lists'.CSR, 'IM 99. Lookup lists'.BBL Leerlingen, 'IM 99. Lookup lists'.Change activiteiten, 'IM 99. Lookup lists'.Opleidingskosten, 'IM 99. Lookup lists'.'Overig IAS 16'","'CA 44. Inflatie Staging'.Inflatie, 'IM 99. Lookup lists'.SPP, 'IM 99. Lookup lists'.Consignatiedienst, 'IM 99. Lookup lists'.PPO, 'IM 99. Lookup lists'.CSR, 'IM 99. Lookup lists'.BBL Leerlingen, 'IM 99. Lookup lists'.Change activiteiten, 'IM 99. Lookup lists'.Opleidingskosten, 'IM 99. Lookup lists'.'Overig IAS 16'",9,false
IC Code,Totaal IC Codes,,false,true,,false,,SS IC Code - C5NA1,false,,false,,,318,"04/12/2024 - May be used later, don't delete for now",,"'IP 11. IC & Leenmonteurs input'.IC code, 'IM 04. Entiteit'.IC Code, 'MA 14. Mapping IC code en Organization L3 (DAA)'.IC code","'IM 04. Entiteit'.IC Code, 'MA 14. Mapping IC code en Organization L3 (DAA)'.IC code",318,false
