,Functional Area,Applies To,Time Scale,Time Range,Versions,Breakback,Users List,Cell Count,Notes,Read Access Driver,Write Access Driver,Data Tags,Managed By,Referenced By,Used in Dashboards,Line Items
IP 31. Netverder,INPUT,"MJP Versions L2, Import Scenario",Year,TR 20 Y,Not Applicable,New Line Items: Off,Show All Users: On,14491,,,,,,'CA 41. Netverder Inflatie',,"OPEX, MJP - Omzet, Omzet, Omzet - Warmte Input, Omzet - Stoom Input, Omzet - Warmte, Omzet - Stoom, MJP - OPEX, Operationele kosten (OPEX), OPEX - Warmte Input, OPEX - Stoom Input, OPEX - Warmte, OPEX - Stoom, Ontwikkelingskosten OPEX, Ontwikkelingskosten - Input, MJP - Afdelingsresultaat, Afdelingsresultaat, AFD - Warmte Input, AFD - Stoom Input, AFD - Warmte, AFD - Stoom, EBIDTA, Afschrijving - Input, Afschrijving, EBIT, CAPEX, MJP - Bruto Capex, Bruto Capex, Bruto Capex - Warmte Input, Bruto Capex - Stoom Input, Bruto Capex - Warmte, Bruto Capex - Stoom, MJP - Netto capex #1, Netto Capex  #1 (incl. Bak incl. Sub.), Netto Capex 1 - Warmte Input, Netto Capex 1 - Stoom Input, Netto Capex 1 - Warmte, Netto Capex 1 - Stoom, MJP - CAPEX BAK, CAPEX BAK - Input, CAPEX BAK, MJP - Subsidie (Plicht), Capex Subiside - input, Capex Subiside (Plicht), Netto Capex #2 (incl. deelname EBN), Netto Capex 2 - Warmte Input, Netto Capex 2 - Stoom input, Netto Capex 2 - Warmte, Netto Capex 2 - Stoom, WEQ, Aantal WEQ - Input, Aantal WEQ in exploitatie, -- Technical --, Format input, Write Warmte Input Omzet, Write Stoom Input Omzet, Format Warmte Input Omzet, Format Stoom Input Omzet, Write Warmte Input Operationele kosten, Write Stoom Input Operationele kosten, Format Warmte Input Operationele kosten, Format Stoom Input Operationele kosten, Write Warmte Input Bruto Capex, Write Stoom Input Bruto Capex, Format Warmte Input Bruto Capex, Format Stoom Input Bruto Capex, Write Warmte Input netto capex 1, Write Stoom Input netto capex 1, Format Warmte Input netto capex 1, Format Stoom Input netto capex 1, Write Warmte Input netto capex 2, Write Stoom Input netto capex 2, Format Warmte Input netto capex 2, Format Stoom Input netto capex 2"
IP 32. Urenschrijvende FTE's,INPUT,"SS Afdeling L5 - Budget Afdelingen, MJP Versions L2",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,4545,,,,,,'RP 08. Formatie MJP',,"Gemiddelde FTE's, Urenschrijvende FTE's, Urenschrijvende FTE's - Input, CF"
IP 33. Loonkosten,INPUT,"MJP Versions L2, F2 Prestatiesoorten, SS Afdeling L5 - Keten",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,11736,,,,,,,,Loonkosten ex. Inflatie
IP 34. Personeelskosten naar grootboekrekening,INPUT,"MJP Versions L2, SS - Account L12 - Budget, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,24576,,,,,,'IP 35. Personeelskosten handmatig naar grootboekrekening',,"FTE gebonden kosten %, Inleenkosten %, ---Technical---, Format input"
IP 35. Personeelskosten handmatig naar grootboekrekening,INPUT,"MJP Versions L2, SS - Account L12 - Budget, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2035017,,,,,,"'CA 48. Personeelskosten naar maand', '└ FI 07ak. User Filters - Suppress Zeroes IP 35'",,"FTE gebonden kosten, FTE gebonden kosten %, FTE gebonden kosten verdeeld, Inleenkosten, Inleenkosten %, Inleenkosten verdeeld, Niet FTE gebonden kosten, Verdeling niet FTE gebonden kosten, Verdeelde kosten, Te verdelen kosten, Totale kosten, Totale kosten verdeeld, --- Technical ---, Format input, FTE Gebonden kosten <> 0"
IP 36. Verdeling FTEs naar prestatiesoorten,INPUT,"MJP Versions L2, F2 Prestatiesoorten, SS - Subafdeling L6 - OPS",Month,TR Budget 2026,Not Applicable,New Line Items: Off,Show All Users: On,12894,LM,,,,,"'IP 37. Verdeling FTE niet prestatiesoort', 'IP 38. Loonkosten prestatiesoort'",,"Verdeling FTE - Prestatiesoorten, ---Technical---, CF Input"
IP 37. Verdeling FTE niet prestatiesoort,INPUT,"MJP Versions L2, SS Afdeling L5 - OPS",Month,TR Budget 2026,Not Applicable,New Line Items: Off,Show All Users: On,3277,,,,,,,,"Totaal FTE (eindstand), Geen prestatiesoort FTE, Te verdelen in Prestatiesoorten, Verdeeld, Nog te verdelen, Restant %, ---Technical---, CF Input"
IP 38. Loonkosten prestatiesoort,INPUT,"MJP Versions L2, Support list #50, SS Afdeling L5 - OPS",Year,TR Budget 2026,Not Applicable,New Line Items: Off,Show All Users: On,17368,,,,,,"'IP 39. Dekking % Prestatiesoorten', 'CA 55. Correctiefactor', 'CA 56. Opslag per uur', 'CA 57. Uurtarief Afdeling', '└CA 57a. Productieve uren', 'CA 58. Uurtarief Subafdeling'",,"Afdeling, Subafdeling, Prestatiesoort (SAP), PRS naam (eigen), Code, Productieve uren, FTE Actuals - voor referentie, MJP - Gedekte FTE's, Actuals - Loonkosten per FTE, Actuals - Loonkosten tarief, Correctiefactor, MJP - Loonkosten tarief, -- Technical --, Input on Subafdeling?, Calculation correctionfactor, CF"
IP 39. Dekking % Prestatiesoorten,INPUT,"MJP Versions L2, Support list #50, SS Afdeling L5 - OPS, LIS (CA 24) kostencategorieen voor uurtarieven v2",Year,TR Budget 2026,Not Applicable,New Line Items: Off,Show All Users: On,115514,,,,,,'CA 56. Opslag per uur',,"Prestatiesoort, Dekkings %, Opslag per uur, --- Technical --, CF, Filter"
IP 40. Input Thema L3++ split,INPUT,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,377383,,,,,,"'CA 52. UMDT - Thema Regio EG', '└  FI 07r. User Filters - Thema L3++ & Afdeling'",,"UMDT excl. Inflatie, UMDT inc. Inflatie, Overwrite SIP split, E, G, OPEX, Regio, E Final, G Final, Regio Final, OPEX Final, ---Technical---, Format input, Format input G, Waarde >0"
IP 41. Input Activiteit L4+ split,INPUT,"MJP Versions L2, SIP Activiteit L4 +, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2614836,,,,,,"'CA 53. UMDT - Activiteit Regio EG', 'FI 11. Activiteit L4 +'",,"UMDT excl. Inflatie, UMDT inc. Inflatie, Overwrite SIP split, E, G, OPEX, Regio, E Final, G Final, Regio Final, OPEX Final, ---Technical---, Format input, Format input G, Waarde >0?"
IP 42. IKT Budget,INPUT,"MJP Versions L2, IKT items",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,50,,,,,,'CA 59. IKT',,"Prijs, Volume, Total cost, Technical, CF Price, CF Volume"
IP 43. IKT Growth,INPUT,"MJP Versions L2, IKT items",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,360,,,,,,'CA 59. IKT',,"Groei volume (%), Groei price Tennet (%), Technical, CF Growth Volume, CF Price Tennet"
IP 44. Dummy Maand Allocatie,INPUT,"MJP Versions L2, Dummy Maand",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,48,,,,,,'CA 59. IKT',,"Netto MW allocatie (%), Technical, CF MW"
IP 45. Netverliezen Budget,INPUT,"MJP Versions L2, Product, Dummy Maand",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1146,,,,,,"'CA 60. Netverliezen Allocatie', '└EX 01a. Export netverliezen to FSP'",,"Prijs, Volume, Subtotaal (P*Q), Vergroening, Nacalculaties, Totaal, Technical, Volume Jaarbasis, CF P, CF Q, CF Vergroening, CF Nacalculaties"
IP 46. Netverliezen Future,INPUT,"MJP Versions L2, Product",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,540,,,,,,'└EX 01a. Export netverliezen to FSP',,"Prijs, Quantity, Subtotaal (P*Q), Vergroening, Nacalculaties, Totaal, Technical, CF P, CF Q, CF Vergroening, CF Nacalculaties"
IP 47. Netverliezen Eigenschappen,INPUT,"MJP Versions L2, Product",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,24,,,,,,,,"Kostenplaats, Account, Technical, CF Kostenplaats, CF Account"
IP 48. KPI report creation input,INPUT,"MJP Versions L2, Support list #50, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,38400,,,,,,'RP 17. KPI Waarde report creation',,"KPI of Groepering, Groepering, KPI_Afdeling, Eenheid, KPI Omschrijving, KPI, ---Technical---, KPI?, Randvoorwaarde?, Filled?, CF - KPI, CF - Randvoorwaarde, CF - Input"
IP 49. Forecast keuze uurtarieven,,SS Afdeling L5 - OPS,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,8,,,,,,'IP 38. Loonkosten prestatiesoort',,"Subafdeling niveau?, Afdeling niveau?"
⠀⠀⠀      ◼️  Calculation Modules,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,,,,,,,,
CA 00. SIP Adjusted,CALCULATION,"MJP Versions L2, OPEX CAPEX, SS Afdeling L5 - OPS (SIP)",Year,TR Model calendar + Total periods,Not Applicable,New Line Items: Off,Show All Users: On,18120,MR: To be moved to FSP,,,,,"'CA 01. SIP - continued', 'CA 40. BAK Inflatie + Meerjarig'",,"Base Amount (LO 02), Groei SIP % OPEX/CAPEX, Groei SIP% TOTEX"
└CA 00a. SIP- Delta Analyse,CALCULATION,"MJP Versions L2, OPEX CAPEX, SS Afdeling L5 - OPS (SIP)",Year,TR Model calendar + Total periods,Not Applicable,New Line Items: Off,Show All Users: On,71952,MR: To be moved to FSP,,,,,,,"SIP (LO 02), MJP (CA 29), Delta % Prijspeil, MJP Inclusief Inflatie (DA47), Prijspeil na Inflatie, Plannen?"
CA 01. SIP - continued,CALCULATION,"MJP Versions L2, COEA, Rekeningcategorie, SS Afdeling L5 - OPS",Year,TR 20 Y,Not Applicable,New Line Items: Off,Show All Users: On,99078,MR: To be moved to FSP,,,,,"'CA 34. MJP naar thema''s - Meerjarig', 'CA 40. BAK Inflatie + Meerjarig', 'EX xx. Export plan to FSP'",,"Totaal MJP exclusief inflatie, Totaal MJP Inclusief Inflatie, Groei SIP %, Incrementale inflatie, LTF Inflatie voor jaren na MJP, Groei + Inflatie, MJP Groei exclusief, Totaal CAPEX ex inflatie, Totaal CAPEX incl inflatie"
CA 04. FTE naar COEA,CALCULATION,"MJP Versions L2, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,19659,HV: Another candidate for rebuild,,,,,'CA 29. MJP naar Afdelingen',,"Uren Uitveringskosten, Leenmonteurs, Percentage Budget, Uren, Totaal Uren, New Percentage Budget, Overwrite?, Overwrite COE, Percentage COE, Totaal Kosten Verdeeld, -- Technical --, CF Overwrite?, CF Overwrite COE, Write access, Sum of OPEX/CAPEX"
CA 05. Risico & Kansen,CALCULATION,"MJP Versions L2, Afdeling L5, Risico & Kansen soort",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,88938,,,,,,,,"R&K totaal minder, R&k Totaal meer, Budget, Scenario:  minder, Scenario: meer, ---Technical---, Format, Text dashboard"
CA 06. FTE kosten MJP,CALCULATION,"MJP Versions L2, SS - FTE Type FSP, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,40500,,,,,,"'IP 32. Urenschrijvende FTE''s', 'CA 24. MJP Kosten uren uitvoeringskosten', '└ CA 25a. FTE & Uurtarief input', 'CA 29. MJP naar Afdelingen', 'RP 08. Formatie MJP', '└EX 01b. Export plan to FSP - % Personeelkosten'",,"Eindstand FTE, Gemiddelde FTE (Calculatie), Overwrite?, Overwrite, Final Gemiddelde FTE, Gemiddelde P-kosten BU (€k), Personeelkosten MJP, Personeelkosten MJP incl inflatie, Technical, CF Overwrite?, CF Overwrite"
CA 07. Variante SIP/MJP,CALCULATION,"MJP Versions L2, Inflatie excl/incl, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,56376,Dashboarding,,,,,,,"MJP - Meerjarenplan, SIP - Geselecteerde Variant I, SIP - Geselecteerde Variant II, Delta - Percentage (%), Delta - absoluut (€), ---Technical---, Exc. Inflatie?"
└ CA 07a. Selectie SIP Varianten voor verglijk,CALCULATION,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2,,,,,,'CA 07. Variante SIP/MJP',,"Variant I, Variant II"
CA 11. Verdeling naar Grootboekrekening overzicht,CALCULATION,"MJP Versions L2, COEA, SS Kostenplaats L7 - Budget, LIS (DA45) Budgetitems",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,839689,,,,,,"'└ IP 10a. Verdeling naar grootboekrekening', 'CA 17. Controle Volledigheid KP/GBR/Maand/Thema', 'FI 09. Driver DB Filter'",,"Waarde, Driver, Final Driver, Verdeeld, Nog te verdelen, Afwijkingspercentage, Format, CF Nog te verdelen, Filter Blanks, BUD?, Write for not DB/TS/IC, Rekcat, Filter Zero"
CA 11 NEW. Verdeling naar Grootboekrekening,CALCULATION,"MJP Versions L2, COEA, Rekeningcategorie, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1055847,HV: Publish in 5.1,,,,,"'└ IP 10a NEW. Verdeling naar grootboekrekening', 'CA 17. Controle Volledigheid KP/GBR/Maand/Thema', 'RP 27. Check report overview', 'RP 28. Controle Volledigheid GBR/Maand', '└ FI 07af. User Filters - Suppress Zeroes IP 10a NEW', 'FI 09. Driver DB Filter'",,"Waarde, Driver, Final Driver, Verdeeld, Nog te verdelen, Afwijkingspercentage, Format, CF Nog te verdelen, Technical, Blank final driver?, Eigen invoer driver?, Automatische Allocatie?, Actuals CY?, Actuals LY?, Actuals Prev version?, Absolute Waarde UMDT, Filter Blanks, BUD?, Write for not automatic allocation"
└ CA 11a. Verdeling naar maand overzicht,CALCULATION,"MJP Versions L2, Afdeling L5, COEA, LIS (DA45) Budgetitems",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,160050,RM: Do we need it at all?,,,,,,,"Afdelingskosten, Verdeeld, Nog te verdelen, Afwijkingspercentage, Format"
└ CA 11a NEW. Verdeling naar maand overzicht,CALCULATION,"MJP Versions L2, Afdeling L5, COEA, Rekeningcategorie",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,113490,HV: Do we need the full afdeling list here? RM: Do we need it at all?,,,,,'CA 17. Controle Volledigheid KP/GBR/Maand/Thema',,"Afdelingskosten, Verdeeld, Nog te verdelen"
CA 14. FTE Versie Variance,CALCULATION,"Users, Import Scenario, SS Afdeling L5 - Budget Afdelingen, LIS (RP 08) Formatie MJP 2",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1082804,HV: Rebuild like in RP 21 & 22.,,,,,,,"Versie 1, Versie 2, Δ, Δ%, Versie 1 - Totaal, Versie 2 - Totaal, Δ - Totaal, Δ% - Totaal, --- Technical ---, Collect FS05, Collect in startjaar, Versie 1 in startjaar, Versie 2 in startjaar, LIS (FS 05) Dummy Summing Item, Dummy Versie 1, Dummy Versie 2, CF Δ, CF Δ Totaal"
CA 16. Controle Dekking Uren,CALCULATION,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, LIS (DA45) Budgetitems",Month,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,2141371,HV: Needed?,,,,,,,"OPEX, CAPEX, EXTERN, TOTEX, Δ, Afdelingskosten, Totaal Leenmonteurs, Δ incl Leenmonteurs, --- TECHNICAL ---, Finale Waarde - COEA, Leenmonteurs, Waterfall, Filter afdeling"
CA 16 NEW. Controle Dekking COEA,CALCULATION,"MJP Versions L2, COEA, Rekeningcategorie, SS Afdeling L5 - Budget Afdelingen",Month,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,1117935,HV: Replace CA16 but not in UX,,,,,'RP 23. Controle Dekking Uren',,COEA Finale Waarde
└CA 16a. Controle UMD vs Thema,CALCULATION,"MJP Versions L2, Dummy Maand, SS - COEA - zonder AFD, SS Kostenplaats L7 - Budget, SS Rekeningcategorie - UMDT",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2605134,HV: Needed?,,,,,'RP 27. Check report overview',,"Totaal, Thema/Activiteit, GBR, --Technical--, Delta %, CF, Te groot?, CF te groot, Afdeling per Dummy Maand Delta %, Afdeling per Dummy Maand te groot?"
CA 17. Controle Volledigheid KP/GBR/Maand/Thema,CALCULATION,"MJP Versions L2, COEA, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,20903,HV: Needed? - RM:Dashboarded in 9.1 - Reworked in RP 28,,,,,,,"--- Grootboekrekening ---, Nog te verdelen Grootboekrekening per Kostensoort, Nog te verdelen Grootboekrekening per dummy, Nog te verdelen Grootboekrekening, Grootboekrekening, CF Grootboekrekening, --- Maanden ---, Nog te verdelen Maanden per kostensoort, Nog te verdelen Maanden per dummy, Nog te verdelen Maanden, Nog te verdelen Maanden NEW, Maanden, CF Maanden, --- Technical ---, Afwijking"
CA 18. Invoer seizoenspatroon IC,CALCULATION,"MJP Versions L2, Support list #10, SS IC Afdelingen - Selectie, SS Afdeling L5 - IC",Month,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,6747840,,,,,,"'└ IP 11a. Invoer seizoenspatroon IC handmatig', 'CA 37. IC naar GBR/KP', 'RP 01. IC output'",,"Calculated (Versturend), Calculated (Ontvangend), -- Technical --, Seasonal Pattern, Tegenpartij, Tegenpartij -> Afdeling L5, Afdeling L5 -> Tegenpartij, Versturende Partij, GBR (Versturend L12), GBR (Ontvangend L12), Kostenplaats (Versturend), Kostenplaats (Ontvangend)"
CA 19. Rekeningcategorie Allocatie,CALCULATION,"MJP Versions L2, Afdeling L5, SS Rekeningcategorie - Combined",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,14928,HV: Needed?,,,,,'RP 27. Check report overview',,"Bedrag, Verdeeld, Nog te verdelen, Afwijkingspercentage, Format"
└ CA 19a. Rekening categorie verdeling,CALCULATION,"MJP Versions L2, SS Rekeningcategorie - Combined, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,14094,HV: Input module,'FI 04. Read-Only'.Lock yearly input,'FI 04. Read-Only'.Open yearly input,,,"'IP 10. Verdeling naar kostenplaatsen', 'IP 10x1. NEW Afdelingkosten naar KP', 'IP 10x2. NEW Handmatig Verdeling naar KP', 'CA 19. Rekeningcategorie Allocatie', 'CA 20. Toeslag Direct'",,"Eigen Invoer, Format"
CA 20. Toeslag Direct,CALCULATION,"MJP Versions L2, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,7458,HV: Check and remove,,,,,"'IP 10. Verdeling naar kostenplaatsen', 'IP 10x2. NEW Handmatig Verdeling naar KP'",,"Handmatig, Berekend, Toeslag Direct, == NEW ==, Total kosten, niet cf IAS 16, Toeslage direct"
CA 21. Berekend UMDT op Activiteit,CALCULATION,"MJP Versions L2, SIP Activiteit L4 +, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,39215925,,,,,,"'DA 32. UMDT op Afdeling (L4+) -> Rekeningcategorie', 'IP 13. UMDT op Activiteiten', 'IP 14. Directe toeslagen', 'IP 15. Uurtarieven', 'IP 17. UMDT op Kostenplaats', 'IP 29. Seizoenspatroon Activity L4+', 'CA 04. FTE naar COEA', '└ CA 21b. UMDT KPI''s', '└ CA 21c. UMDT + Inflatie (L4+)', '└ CA 22a. Berekening toeslagen', '└ CA 22a. Berekening toeslagen - Copy', '└ CA 25a. FTE & Uurtarief input', 'CA 32. Toeslag Indirect MJP', 'CA 32xx. Toeslag Indirect MJP', 'CA 33. Toeslag indirect dekkings controle', 'CA 43. Materiaal Staging Activiteit L4+', 'IM 37. SIP Activiteit L4 +'",,"COE - Activiteit, Eenheid, Uurtarief, Aantal (Q), Uren (€), Materiaal, Diensten derden, UMD (€), TS - Materiaal, TS - Direct, TS - Direct 2, TS - Indirect, TS - OPSS, UMDT (€), TS - Materiaal %, TS - Direct %, TS - Direct 2 %, TS - Indirect %, TS - OPSS %, ---KPI---, KPI - KP incl. Toeslag, ---Materiaal Kosten---, Materiaal - Magazijn, Materiaal - Overig, - Technical -, Uren, Thema L3, Kosten tbv indirecte toeslag, Kosten tbv materiaaltoeslag, Kosten tbv OPSS toeslag, OPS Support totex, Technical Uren, Afdeling L5 Filter"
└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+,CALCULATION,"MJP Versions L2, SIP Activiteit L4 +, Dummy Total, SS - COEA - zonder AFD, SS Kostenplaats L7 - Budget, SS Rekeningcategorie - UMDT",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,569382459,,,,,,"'IP 10. Verdeling naar kostenplaatsen', 'IP 10x2. NEW Handmatig Verdeling naar KP', '└  CA 21d. Activiteit_kostenplaats combinatie', '└CA 35c. Monthly allocation Activity L4+ to UMDT - Copy', 'CA 43. Materiaal Staging Activiteit L4+', 'RP 14. UMDT - Kostenplaats', 'RP 27. Check report overview'",,"Allocation key to KP, Allocation for valid combinations, Totaal kosten UMDT activiteit, Data SS Afdeling naar Parent, Final allocation, Final allocation test, ---Technical---, Data Afdeling Total, Allocation Total, Dummy Total, Valid Combinations L3"
└ CA 21a NEW. Allocatie naar CC Activiteit L4+ - Copy,CALCULATION,"MJP Versions L2, SIP Activiteit L4 +, SS - COEA - zonder AFD, SS Kostenplaats L7 - Budget, SS Rekeningcategorie - UMDT",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,120498840,,,,,,,,"UMDT naar Kostenplaats (Allocatiesleutel), Allocation for valid combinations, Valid Combinations L3, Totaal kosten UMDT activiteit, Data SS Afdeling naar Parent, Dummy Total"
└ CA 21b. UMDT KPI's,CALCULATION,"MJP Versions L2, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,588,,,,,,,,KP incl. Toeslag
└ CA 21c. UMDT + Inflatie (L4+),CALCULATION,"MJP Versions L2, SIP Activiteit L4 +, COEA, SS Afdeling L5 - Budget Afdelingen, LIS (CA 21) UMD - Activiteit L4+",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,182097720,,,,,,"'IP 41. Input Activiteit L4+ split', '└CA 35g. Monthly allocation on thema L3', 'CA 53. UMDT - Activiteit Regio EG', 'RP 13. UMDT - Afdeling'",,"Kosten excl. Inflatie, Inflatie, Kosten incl. Inflatie, UMDT inclusief inflatie, UMDT inclusief inflatie 2, Kosten incl. Inflatie en UMDT"
└  CA 21d. Activiteit_kostenplaats combinatie,CALCULATION,"MJP Versions L2, SIP Activiteit L4 +, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4018661,,,,,,,,"UMDT naar Kostenplaats (Allocatiesleutel), Activitieit, Kostenplaats, Activiteit_Kostenplaats TXT, FO, ITEM, Load?, Load warning"
CA 22. Berekening Doorbelastingen,CALCULATION,"MJP Versions L2, SS Afdeling L5 - Doorbelastingen en toeslagen, SS Rekeningcategorie - Doorbelastingen, SS DB/TS - Doorbelastingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,150156,,,,,,"'CA 19. Rekeningcategorie Allocatie', 'CA 24. Budget Kosten uren uitvoeringskosten-TBD', 'CA 24. MJP Kosten uren uitvoeringskosten', 'CA 29. MJP naar Afdelingen', 'CA 44. Inflatie Staging', 'CA 45. Doorbelasting inflatie staging', 'RP 03. DB / TS Overview', 'RP 27. Check report overview'",,"Ontvangend, Ontvangend - Allocatie final, Ontvangend - Calculatie incl inflatie, Ontvangend - Calculatie ex inflatie, Versturend, Versturend - Allocatie, Versturend - Calculatie incl inflatie, Versturend - Calculatie ex inflatie, Totaal, Totaal incl inflatie, Totaal excl inflatie, Inflatie Calculatie %, Allocatie naar Kostenplaats, Kosten, Verdeeld, Nog te verdelen, Format, --- Technical ---, Read Access?"
└ CA 22a. Berekening toeslagen,CALCULATION,"MJP Versions L2, Inflatie excl/incl, SS Afdeling L5 - OPS",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,2088,,,,,,"'CA 21. Berekend UMDT op Activiteit', '└ CA 22b. Collect toeslagen', '└ CA 22c. Collect indirecte toeslagen', 'CA 23. Berekend UMDT op L3++ Thema''s', 'CA 26. Calculatie Toeslag Indirect', 'CA 32. Toeslag Indirect MJP', 'CA 33. Toeslag indirect dekkings controle', 'RP 03. DB / TS Overview'",,"Kosten, TOTEX (Exclusief toeslagen), TOTEX (Exclusief toelsagen) OPSS, Toeslagdragende materiaalkosten, OPS Support, OPS Support % - Calculatie, Magazijntoeslag, Magazijntoeslag - Calculatie, Indirecte toeslag, Netwerkontwikkeling toeslag - Calculatie, Inkoop toeslag - Calculatie, VGMK toeslag - Calculatie, Bedrijfsvoering toeslag - Calculatie, Indirecte toeslag - Calculatie"
└ CA 22a. Berekening toeslagen - Copy,CALCULATION,"MJP Versions L2, Inflatie excl/incl, SS Afdeling L5 - OPS",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,2088,,,,,,,,"Kosten, TOTEX (Exclusief toeslagen), TOTEX (Exclusief toelsagen) OPSS, Toeslagdragende materiaalkosten, OPS Support, OPS Support % - Calculatie, Magazijntoeslag, Magazijntoeslag - Calculatie, Indirecte toeslag, Netwerkontwikkeling toeslag - Calculatie, Inkoop toeslag - Calculatie, VGMK toeslag - Calculatie, Bedrijfsvoering toeslag - Calculatie, Indirecte toeslag - Calculatie"
└ CA 22b. Collect toeslagen,CALCULATION,"MJP Versions L2, Inflatie excl/incl, LIS (CA 22a) Toeslagen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,216,,,,,,'└ IP 16c. Toeslagen percentages',,Collect
└ CA 22c. Collect indirecte toeslagen,CALCULATION,"MJP Versions L2, Inflatie excl/incl, SS Afdeling L5 - OPS, LIS (CA 22a) Indirecte toeslagen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,420066,,,,,,'CA 38. Toeslagen GBR',,"Collect, Verhouding toeslagen, ---Technical---, Verhouding toeslagen geen inflatie, Verhouding toeslagen - kostenplaats, Verhouding Toeslagen - KP & Dummy Maand"
