,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Populated Cell Count,Memory Used,Calculation Complexity,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Start of Section,Data Tags,Referenced By,Module Name
Gealloceerd,NUMBER,IF Enkele Kostenplaats? AND ISNOTBLANK(Kostenplaats Selectie) THEN 'UMDT (€) Totaal' ELSE 'IP 20. UMDT Thema''s op Kostenplaats'.'Allocation Resultaat (€)'[SELECT: 'Support list #10'.Total],Sum,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,70413,,,,,,,,,,false,All Versions,,true,false,false,,"'KPI - % Gealloceerd', 'KPI - Nog te Alloceren'",IP 19. UMDT op L3++ Thema's
KPI - % Gealloceerd,NUMBER,IF 'KPI - Nog te Alloceren' = 0 THEN 1 ELSE Gealloceerd / 'UMDT (€) Totaal',Formula,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,70413,,,,,,,,,,false,All Versions,,true,false,false,,CF KPI % Gealloceerd,IP 19. UMDT op L3++ Thema's
KPI - Nog te Alloceren,NUMBER,'UMDT (€) Totaal' - Gealloceerd,Formula,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,70413,,,,,,,,,,false,All Versions,,true,false,false,,'KPI - % Gealloceerd',IP 19. UMDT op L3++ Thema's
---TECHNICAL---,NONE,,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
CF KPI % Gealloceerd,NUMBER,IF 'KPI - % Gealloceerd' > 1.0001 OR 'KPI - % Gealloceerd' < 0.9999 THEN 1 ELSE 0,Formula,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,70413,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
Uren,NUMBER,IF Eenheid <> Eenheid.Stelpost THEN Q * Normuren ELSE 0,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,'CA 23. Berekend UMDT op L3++ Thema''s'.Uren,IP 19. UMDT op L3++ Thema's
Planning?,BOOLEAN,"'MA 11. Afdeling op L3++'.Default planning OR 'IM 41. Thema L3 ++'.'Thema L3' = ""Niet - toegewezen TH""",Any,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,70413,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
L5 Afdeling,LIST,ITEM('Afdeling L5'),None,SS Afdeling L5 - Budget Afdelingen,Not Applicable,Model Calendar,Not Applicable,Normal,32,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
Write Access - Stelpost,BOOLEAN,NOT 'Write Access - Stuks',None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,Format Stelpost,IP 19. UMDT op L3++ Thema's
Write Access - Stuks,BOOLEAN,Eenheid <> 'IM 64. Eenheid'.AN Stelpost,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,"'Write Access - Stelpost', Format Stuks",IP 19. UMDT op L3++ Thema's
CAPEX % Selection,BOOLEAN,'COE - Activiteit LOOKUP' = COEA.CAPEX,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,Format Capex,IP 19. UMDT op L3++ Thema's
OPEX Q,NUMBER,IF 'COE - Activiteit LOOKUP' = COEA.OPEX THEN Final Q ELSE IF 'COE - Activiteit LOOKUP' = COEA.CAPEX THEN (1 - % CAPEX) * Final Q ELSE 0,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,'CA 23. Berekend UMDT op L3++ Thema''s'.'Aantal (Q)',IP 19. UMDT op L3++ Thema's
CAPEX Q,NUMBER,IF 'COE - Activiteit LOOKUP' = COEA.CAPEX THEN Final Q * % CAPEX ELSE 0,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,'CA 23. Berekend UMDT op L3++ Thema''s'.'Aantal (Q)',IP 19. UMDT op L3++ Thema's
Extern Q,NUMBER,IF 'COE - Activiteit LOOKUP' = COEA.EXTERN THEN Final Q ELSE 0,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,'CA 23. Berekend UMDT op L3++ Thema''s'.'Aantal (Q)',IP 19. UMDT op L3++ Thema's
Final Q,NUMBER,IF Eenheid = Eenheid.Stelpost THEN 1 ELSE Q,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,"OPEX Q, CAPEX Q, Extern Q, 'IP 20. UMDT Thema''s op Kostenplaats'.Q",IP 19. UMDT op L3++ Thema's
Extern Write?,BOOLEAN,'COE - Activiteit LOOKUP' <> COEA.EXTERN,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
Format,NUMBER,2,None,,Not Applicable,Model Calendar,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
Materiaal Toeslag % Write,BOOLEAN,NOT Geen materiaal toeslag?,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
Format input,NUMBER,2,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
Format Capex,NUMBER,IF CAPEX % Selection THEN 2 ELSE 0,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
Format Stuks,NUMBER,IF 'Write Access - Stuks' THEN 2 ELSE 0,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
Format Stelpost,NUMBER,IF 'Write Access - Stelpost' THEN 2 ELSE 0,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
Format Material Toeslag,NUMBER,IF NOT Geen materiaal toeslag? THEN 2 ELSE 0,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
Format gelijkende Toeslag,NUMBER,IF 'Directe Toeslag 1' <> 'Directe Toeslag 2' OR ISBLANK('Directe Toeslag 1') THEN 2 ELSE -5,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
Format Enkele Kostenplaats,NUMBER,IF Enkele Kostenplaats? THEN IF ISBLANK(Kostenplaats Selectie) THEN -2 ELSE 2 ELSE 0,None,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,15104,,,,,,,,,,false,All Versions,,true,false,false,,,IP 19. UMDT op L3++ Thema's
Afdeling,LIST,'IM 13. Afdeling L5'.ITEM,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,Q,IP 20. UMDT Thema's op Kostenplaats
Subafdeling,LIST,,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,,IP 20. UMDT Thema's op Kostenplaats
Kostenplaats,LIST,,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,"'1 Kostenplaats Selectie', '└  CA 23a. Allocatie naar Kostenplaats Thema L3 +'.Allocation %",IP 20. UMDT Thema's op Kostenplaats
1 Kostenplaats Selectie,LIST,IF 'IP 19. UMDT op L3++ Thema''s'.Enkele Kostenplaats? THEN 'IP 19. UMDT op L3++ Thema''s'.Kostenplaats Selectie ELSE Kostenplaats,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,,IP 20. UMDT Thema's op Kostenplaats
Q,NUMBER,'IP 19. UMDT op L3++ Thema''s'.Final Q[LOOKUP: Afdeling],None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,'IP 19. UMDT op L3+ Thema''s'.Q [LOOKUP: Afdeling],,,,,false,All Versions,,true,false,false,,Allocation,IP 20. UMDT Thema's op Kostenplaats
UMDT Totaal (€),NUMBER,'CA 23. Berekend UMDT op L3++ Thema''s'.'UMDT (€)',None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,"Allocation, 'Allocation Resultaat (€)', 'KPI - To allocate'",IP 20. UMDT Thema's op Kostenplaats
Allocation Method,LIST,,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,"Allocation %?, Allocation Q?, Allocation €?, Allocation Method Final",IP 20. UMDT Thema's op Kostenplaats
Allocation %,NUMBER,,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,Allocation,IP 20. UMDT Thema's op Kostenplaats
Allocation Q,NUMBER,,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,Allocation,IP 20. UMDT Thema's op Kostenplaats
Allocation €,NUMBER,,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,Allocation,IP 20. UMDT Thema's op Kostenplaats
Allocation,NUMBER,IF Allocation Method Final = 'Allocation Method (% / Q / €)'.Q THEN Allocation Q / Q ELSE IF Allocation Method Final = 'Allocation Method (% / Q / €)'.% THEN Allocation % * Q / Q ELSE IF Allocation Method Final = 'Allocation Method (% / Q / €)'.€ THEN Allocation € / 'UMDT Totaal (€)' ELSE 0,Sum,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,774543,,,,,,,,,,false,All Versions,,true,false,false,,"'Allocation Resultaat (€)', 'KPI - Total Allocation (%)', '└  CA 23a. Allocatie naar Kostenplaats Thema L3 +'.Allocation %",IP 20. UMDT Thema's op Kostenplaats
Allocation Resultaat (€),NUMBER,IF Allocation = 0 THEN 0 ELSE 'UMDT Totaal (€)' * Allocation,Sum,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,774543,,,,,,,,,,false,All Versions,,true,false,false,,"'IP 19. UMDT op L3++ Thema''s'.Gealloceerd, 'KPI - To allocate'",IP 20. UMDT Thema's op Kostenplaats
Final Check,NUMBER,,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,,IP 20. UMDT Thema's op Kostenplaats
KPI Calculation - OLD TBD,NONE,,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IP 20. UMDT Thema's op Kostenplaats
KPI - Total Allocation (%),NUMBER,IF 'IP 19. UMDT op L3++ Thema''s'.Enkele Kostenplaats? THEN 1 ELSE Allocation[SELECT: 'Support list #10'.Total],Formula,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,774543,,,,,,,,,,false,All Versions,,true,false,false,,'CF - Total Allocation',IP 20. UMDT Thema's op Kostenplaats
KPI - To allocate,TEXT,"IF 'IP 19. UMDT op L3++ Thema''s'.Enkele Kostenplaats? THEN TEXT(ROUND('UMDT Totaal (€)', 0, UP, EXACT)) & "" / "" & TEXT(ROUND('UMDT Totaal (€)', 0, UP, EXACT)) ELSE TEXT(ROUND('Allocation Resultaat (€)'[SELECT: 'Support list #10'.Total], 0, UP, EXACT)) & "" / "" & TEXT(ROUND('UMDT Totaal (€)', 0, UP, EXACT))",Formula,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,774543,,,,,,,,,,false,All Versions,,true,false,false,,,IP 20. UMDT Thema's op Kostenplaats
---TECHNICAL---,NONE,,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IP 20. UMDT Thema's op Kostenplaats
Allocation %?,BOOLEAN,IF ISBLANK(Allocation Method Final) THEN FALSE ELSE Allocation Method = 'Allocation Method (% / Q / €)'.%,Any,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,774543,,,,,,,,,,false,All Versions,,true,false,false,,Format Allocation %,IP 20. UMDT Thema's op Kostenplaats
Allocation Q?,BOOLEAN,IF ISBLANK(Allocation Method Final) THEN FALSE ELSE Allocation Method = 'Allocation Method (% / Q / €)'.Q,Any,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,774543,,,,,,,,,,false,All Versions,,true,false,false,,Format Allocation Q,IP 20. UMDT Thema's op Kostenplaats
Allocation €?,BOOLEAN,IF ISBLANK(Allocation Method Final) THEN FALSE ELSE Allocation Method = 'Allocation Method (% / Q / €)'.€,Any,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,774543,,,,,,,,,,false,All Versions,,true,false,false,,Format Allocation €,IP 20. UMDT Thema's op Kostenplaats
CF - Total Allocation,NUMBER,IF 'KPI - Total Allocation (%)' > 1.0001 OR 'KPI - Total Allocation (%)' < 0.9999 THEN 1 ELSE 0,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,'CF - Resultaat',IP 20. UMDT Thema's op Kostenplaats
CF - Resultaat,NUMBER,IF ISBLANK(Allocation Method Final) THEN 0 ELSE 'CF - Total Allocation',Max,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,774543,,,,,,,,,,false,All Versions,,true,false,false,,,IP 20. UMDT Thema's op Kostenplaats
Write?,BOOLEAN,NOT 'IP 19. UMDT op L3++ Thema''s'.Enkele Kostenplaats?,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,"Allocation Method Final, Format input",IP 20. UMDT Thema's op Kostenplaats
Allocation Method Final,LIST,IF NOT Write? THEN BLANK ELSE Allocation Method,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,"Allocation, Allocation %?, Allocation Q?, Allocation €?, 'CF - Resultaat'",IP 20. UMDT Thema's op Kostenplaats
Format input,NUMBER,IF Write? THEN 2 ELSE 0,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,,IP 20. UMDT Thema's op Kostenplaats
Format Allocation %,NUMBER,IF Allocation %? THEN 2 ELSE 0,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,,IP 20. UMDT Thema's op Kostenplaats
Format Allocation Q,NUMBER,IF Allocation Q? THEN 2 ELSE 0,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,,IP 20. UMDT Thema's op Kostenplaats
Format Allocation €,NUMBER,IF Allocation €? THEN 2 ELSE 0,None,"MJP Versions L2, SIP Thema L3++, Support list #10, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Model Calendar,Not Applicable,Normal,151040,,,,,,,,,,false,All Versions,,true,false,false,,,IP 20. UMDT Thema's op Kostenplaats
KPI ID,TEXT,'IM 43. KPI_Afdeling'.KPI ID,None,"MJP Versions L2, KPI_Afdeling",Not Applicable,TR MJP,Not Applicable,Normal,2460,,,,,,,,,,false,All Versions,,true,false,false,,,IP 21. Input KPI's - MJP
KPI Name,LIST,'IM 43. KPI_Afdeling'.'L - KPI Naam',None,"MJP Versions L2, KPI_Afdeling",Not Applicable,TR MJP,Not Applicable,Normal,2460,,,,,,,,,,false,All Versions,,true,false,false,,,IP 21. Input KPI's - MJP
Afdeling,LIST,'IM 43. KPI_Afdeling'.Afdeling,None,"MJP Versions L2, KPI_Afdeling",Not Applicable,TR MJP,Not Applicable,Normal,2460,,,,,,,,,,false,All Versions,,true,false,false,,,IP 21. Input KPI's - MJP
Waarde,NUMBER,,Sum,"MJP Versions L2, KPI_Afdeling",Year,TR MJP,Not Applicable,Normal,33210,,,,,,,,,,false,All Versions,,true,false,false,,"Check on Verplicht filled, Waarde formula, 'RP 17. KPI Waarde report creation'.Waarde, 'RP 18. KPI Waarde over years'.Waarde",IP 21. Input KPI's - MJP
Format input,NUMBER,2,None,"MJP Versions L2, KPI_Afdeling",Not Applicable,TR MJP,Not Applicable,Normal,2460,,,,,,,,,,false,All Versions,,true,false,false,,,IP 21. Input KPI's - MJP
---KPI---,NONE,,None,"MJP Versions L2, KPI_Afdeling",Not Applicable,TR MJP,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,IP 21. Input KPI's - MJP
Check on Verplicht filled,NUMBER,IF 'IM 43. KPI_Afdeling'.Verplicht? AND TIMESUM(Waarde) = 0 THEN 1 ELSE 0,None,"MJP Versions L2, KPI_Afdeling",Not Applicable,TR MJP,Not Applicable,Normal,2460,,,,,,,,,,false,All Versions,,true,false,false,,'RP 27. Check report overview'.'KPI FY (Aantal niet gevuld)',IP 21. Input KPI's - MJP
Waarde formula,NUMBER,Waarde,None,"MJP Versions L2, KPI_Afdeling",Year,TR MJP,Not Applicable,Normal,22140,,,,,,,,,,true,All Versions,,true,false,false,,,IP 21. Input KPI's - MJP
KPI ID,TEXT,'IM 43. KPI_Afdeling'.KPI ID,First non-blank,KPI_Afdeling,Not Applicable,MJP BU TR,Not Applicable,Normal,1230,,,,,,,,,,false,All Versions,,true,false,false,,,└ IP 21a. Input KPI's - Months
KPI Name,LIST,'IM 43. KPI_Afdeling'.'L - KPI Naam',First non-blank,KPI_Afdeling,Not Applicable,MJP BU TR,Not Applicable,Normal,1230,,,,,,,,,,false,All Versions,,true,false,false,,,└ IP 21a. Input KPI's - Months
Afdeling,LIST,'IM 43. KPI_Afdeling'.Afdeling,First non-blank,KPI_Afdeling,Not Applicable,MJP BU TR,Not Applicable,Normal,1230,,,,,,,,,,false,All Versions,,true,false,false,,,└ IP 21a. Input KPI's - Months
Waarde,NUMBER,,None,"MJP Versions L2, KPI_Afdeling",Month,MJP BU TR,Not Applicable,Normal,118080,,,,,,,,,,false,All Versions,,true,false,false,,Check on Verplicht filled,└ IP 21a. Input KPI's - Months
Afdeling filter,BOOLEAN,,None,"Users, KPI_Afdeling",Not Applicable,MJP BU TR,Not Applicable,Normal,79950,,,,,,,,,,false,All Versions,,true,false,false,,,└ IP 21a. Input KPI's - Months
Format input,NUMBER,2,None,,Not Applicable,MJP BU TR,Not Applicable,Normal,1,,,,,,,,,,false,All Versions,,true,false,false,,,└ IP 21a. Input KPI's - Months
---KPI---,NUMBER,,None,"MJP Versions L2, KPI_Afdeling",Month,MJP BU TR,Not Applicable,Normal,118080,,,,,,,,,,false,All Versions,,true,false,false,,,└ IP 21a. Input KPI's - Months
Check on Verplicht filled,NUMBER,IF 'IM 43. KPI_Afdeling'.Verplicht? AND TIMESUM(Waarde) = 0 THEN 1 ELSE 0,None,"MJP Versions L2, KPI_Afdeling",Not Applicable,MJP BU TR,Not Applicable,Normal,2460,,,,,,,,,,false,All Versions,,true,false,false,,'RP 27. Check report overview'.'KPI Maand (Aantal niet gevuld)',└ IP 21a. Input KPI's - Months
Bestaande KPI selectie,LIST,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,"KPI Naam Final, New code, KPI ID, KPI Code SPIN, Validated for Create?, Existing KPI?",IP 22. Create KPI_Afdeling
KPI Code,TEXT,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,,IP 22. Create KPI_Afdeling
KPI Bestaat (Alle afdelingen),BOOLEAN,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,,IP 22. Create KPI_Afdeling
Nieuwe KPI-invoer,TEXT,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,"KPI Naam Final, New code, Validated for Create?, New KPI?, 'Character > 60?'",IP 22. Create KPI_Afdeling
KPI gebruikt?,BOOLEAN,'IM 43. KPI_Afdeling'.Count SPIN[LOOKUP: AN KPI] > 0,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,,IP 22. Create KPI_Afdeling
KPI Naam Final,TEXT,IF ISNOTBLANK(Bestaande KPI selectie) THEN 'SPIN - KPI'.Display name[LOOKUP: Bestaande KPI selectie] ELSE IF ISBLANK(Bestaande KPI selectie) AND ISNOTBLANK('Nieuwe KPI-invoer') THEN 'Nieuwe KPI-invoer' ELSE BLANK,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,"KPI_Afdeling, Create KPI, 'Subload IM 42?'",IP 22. Create KPI_Afdeling
YTD Berekening,LIST,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,Validated for Create?,IP 22. Create KPI_Afdeling
Groepering L1,LIST,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,"Validated for Create?, Create KPI",IP 22. Create KPI_Afdeling
Categorie L2,LIST,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,"Validated for Create?, Create KPI",IP 22. Create KPI_Afdeling
Eenheid,LIST,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,"Validated for Create?, Create KPI",IP 22. Create KPI_Afdeling
Afdeling,LIST,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,"Afdeling Code, New code, Validated for Create?, Create KPI",IP 22. Create KPI_Afdeling
Afdeling Code,TEXT,CODE(Afdeling),None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,,IP 22. Create KPI_Afdeling
Content Leverancier (Optioneel),TEXT,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,,IP 22. Create KPI_Afdeling
Data Leverancier (Optioneel),TEXT,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,,IP 22. Create KPI_Afdeling
Business Controller 1,LIST,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,Validated for Create?,IP 22. Create KPI_Afdeling
Business Controller 2 (Optioneel),LIST,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,,IP 22. Create KPI_Afdeling
Frequentie,LIST,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,Validated for Create?,IP 22. Create KPI_Afdeling
Aangemaakt door,LIST,,None,Support list #10,Not Applicable,Model Calendar,Not Applicable,Normal,10,,,,,,,,,,false,All Versions,,true,false,false,,Validated for Create?,IP 22. Create KPI_Afdeling
