,Local Controller,Local Controller (DB/TS),MJP Manager,KPI Controller,Read Only (RO),Check Access? (read if updated)
MA 07. Kostenplaats L7 Aggregation mapping - Version based,Write,Write,Write,None,Read,Read
MA 08. Acount L12 aggregation mapping,Write,Write,Write,None,Read,Read
MA 09. Account L12 aggregation mapping - Version based,Write,Write,Write,None,Read,Read
MA 10. Afdeling op Thema's of Activiteiten,Write,Write,None,None,Read,Read
MA 11. Afdeling op L3++,Write,Write,None,None,Read,Read
MA 12.  Afdeling op L4+,Write,Write,None,None,Read,Read
== Adjust ==,None,None,None,None,None,None
MA 15. COEA -> Rekeningcategorie,Read,Read,None,None,Read,Read
MA 58. UMD to Toeslag Indirect,Read,Read,None,None,Read,Read
MA 59.TS -> CA22a,Read,Read,None,None,Read,Read
MA 61. Kostenplaats L7 Aggregation mapping,Write,Write,Write,None,Read,Read
MA 62. Dummy IC,Read,Read,None,None,None,None
MA 63. LIS (CA 29) MJP to rekeningcategorie,Write,Write,None,None,Read,Read
MA 63 LIS CA22a to DB/TS Items,Write,Write,Write,None,Read,Read
MA 64 LIS CA 29 to Rekeningcategorie,Read,Read,None,None,None,None
MA 60. LIS (CA 29) MJP to LIS (DA 04) cumulative,Read,Read,None,None,Read,Read
MA 66. LIS CA 24 KC voor Uurtariefen,Read,Read,None,None,None,None
⠀⠀⠀       ◼️ Settings,None,None,Write,None,Read,Read
SET 01. Import Scenario Settings,Read,Read,Write,None,Read,Read
└ SET 01a. Import Scenario Settings Monthly,Read,Read,None,None,Read,Read
└ SET 01b. Import Scenario Dashboard Settings,Read,Read,None,None,Read,Read
└ SET 01c. Import Scenatio Dashboard Settings Monthly,Read,Read,None,None,Read,Read
SET 02. Tijd Settings - Maand,Read,Read,None,None,Read,Read
SE 02. Filter Settings Staven,Read,Read,Write,None,Read,Read
SET 03. Tijd Settings - Jaar,Read,Read,None,None,Read,Read
SE 03. Budget settings,Read,Read,None,None,Read,Read
SET 04. Datum Settings,Read,Read,None,None,Read,Read
SET 04. Datum vandaag (Cloudworks),Read,Read,Read,None,Read,Read
SET 05. MJP Version Control,Read,Read,Write,None,Read,Read
SET 06. Version copy control,Read,Read,Write,None,Read,Read
SET 07. Tijd x Version,Read,Read,Write,None,Read,Read
SET 08. Tijd x Version x Dummy,Read,Read,Write,None,Read,Read
SET 09. Dummy x Tijd x Version,Read,Read,Write,None,Read,Read
DC 00. Data Checks,Read,Read,Write,None,Read,Read
⠀⠀⠀       ◼️ Export modules,None,None,None,None,Read,Read
EX 01. Export plan to FSP,None,None,None,None,None,None
└EX 01a. Export netverliezen to FSP,None,None,None,None,None,None
└EX 01b. Export IKT Data  to FSP,None,None,None,None,None,None
└EX 01c. Export IKT growth  to FSP,None,None,None,None,None,None
└EX 01d. Export Tafel/Thema to FSP,None,None,None,None,None,None
EX 02. Export plan to Powerapps financieel,None,None,None,None,Read,Read
EX 03. Export plan to Powerapps formatie,None,None,None,None,Read,Read
EX 04. Export plan to SAP financieel,None,None,None,None,Read,Read
EX 05. DB/TS export to AACxUMD,None,None,None,None,None,None
EX 06. Export inflatie to Datahub,None,None,None,None,None,None
EX 07. Uurtarief export to Data Hub Subafdeling,None,None,None,None,None,None
EX 08. Uurtarief export to Data Hub Afdeling,None,None,None,None,None,None
EX 09. Export Directe Toeslagen to AACx UMD,None,None,None,None,None,None
EX xx. Export plan to FSP,None,None,None,None,Read,Read
└EX 01a. Export plan to FSP - BAK,None,None,None,None,None,None
└EX 01b. Export plan to FSP - % Personeelkosten,None,None,None,None,None,None
⠀⠀⠀       ◼️ Security Modules,Read,Read,Write,None,Read,Read
SEC 00. Access,None,None,None,None,Read,Read
SEC 01. Version Access,Read,Read,Write,None,Read,Read
SEC 02. COEA/Kosten Access,Read,Read,None,None,Read,Read
SEC 03. Subset Account L12 - Budget Access,None,None,None,None,Read,Read
SEC 04. IC Afdelingen Access,Read,Read,None,None,Read,Read
⠀⠀⠀       ◼️ TBD,None,None,None,None,None,None
└ IM 01b. Account L12 - budget (TBD),Read,Read,None,None,Read,Read
MA 05. Mapping Afdeling directeuren (Delete After Action),Read,Read,None,None,Read,Read
MA 09. Mapping OPEX/CAPEX en COEA (Delete After Action),Read,Read,None,None,Read,Read
MA 10. Kostencategorieen <> subset (DAA),Read,Read,None,None,Read,Read
MA 14. Mapping IC code en Organization L3 (DAA),Read,Read,None,None,Read,Read
